127.0.0.1, 2018-10-14 12:21:10, GET, /admin/default/site, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-14 12:21:10, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 12:21:10, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:10, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.320000
127.0.0.1, 2018-10-14 12:21:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/default/index, HTTP/1.1, 200, 0.079000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-14 12:21:13, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-14 12:21:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:21:15, GET, /admin/default/site, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-10-14 12:21:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
